BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0.5323026,0.6466636,0.6881602,0.58079845,0.5676952,0.6423067
0.46519905,0.6451367,0.6881536,0.5945899,0.5544609,0.6548274
0.4984967,0.6468774,0.68530786,0.5867816,0.5642698,0.6488985
0.5241436,0.6447397,0.687581,0.58068234,0.56480736,0.6547876
0.5003127,0.6466636,0.68827206,0.58935535,0.5636147,0.66257626
0.4963407,0.6434876,0.684313,0.58312184,0.5586378,0.6673818
0.51056725,0.6392121,0.6854815,0.58005536,0.5564808,0.6905034
0.5155058,0.6480684,0.68609357,0.58773357,0.5663108,0.67963606
0.5126979,0.64522827,0.68442386,0.5837971,0.5643977,0.6833108
0.5352348,0.6327378,0.6808126,0.5713309,0.5565658,0.709491
0.5032289,0.64586955,0.68531674,0.58500373,0.5637531,0.688057
0.51034397,0.63823485,0.68051994,0.5871191,0.5377693,0.7573609
0.48651263,0.64644986,0.6841716,0.5906493,0.56058663,0.72046673
0.5078033,0.6445259,0.68452084,0.58354074,0.563836,0.7218763
0.5330802,0.6456558,0.6852814,0.57983285,0.5673903,0.71346384
0.4871031,0.6468163,0.6844853,0.588156,0.5622204,0.73791283
0.48760548,0.6468163,0.6838007,0.59120005,0.56245714,0.7410932
0.49580607,0.6469079,0.68524563,0.5888271,0.56138706,0.752829
0.4905618,0.64525884,0.6829353,0.5868883,0.5601948,0.7715022
0.4882758,0.6482516,0.6846457,0.5903827,0.56497216,0.7700613
0.51835966,0.6453199,0.6846802,0.5798346,0.5610599,0.788859
0.5136563,0.6456558,0.6842142,0.58095294,0.5651264,0.7766249
0.4566451,0.6434876,0.6725159,0.54851943,0.52615184,1.0118533
0.50394255,0.64586955,0.6841252,0.58378416,0.56434923,0.78245795
0.50949675,0.646175,0.6827022,0.5820536,0.5646981,0.8068884
0.50750136,0.64583904,0.6834954,0.58222795,0.5648877,0.8082789
0.5300106,0.6395785,0.6840808,0.5796972,0.56336504,0.85578513
0.5055845,0.64620554,0.6839628,0.5830292,0.56466216,0.83312243
0.50454104,0.6473659,0.68493205,0.58551234,0.5662252,0.82795304
0.5136505,0.6460529,0.68385416,0.58288276,0.5663479,0.86620533
0.5230369,0.6483737,0.68476325,0.58447415,0.5702284,0.8664013
0.5180829,0.64599174,0.6846474,0.5808059,0.5664711,0.84725696
0.5137261,0.6483127,0.68372464,0.5847256,0.56782997,0.86624527
0.51327753,0.64693844,0.6842073,0.5839373,0.5676395,0.88083726
0.5221493,0.6464499,0.6845656,0.5809554,0.56746536,0.8726413
0.5066183,0.6447702,0.68357205,0.5815936,0.56381714,0.875976
0.5248123,0.6469995,0.68492615,0.5818556,0.5684382,0.8892874
0.5146142,0.64544207,0.6838809,0.58022517,0.56507903,0.9379354
0.5234,0.6472438,0.6851075,0.58245033,0.56873095,0.89753747
0.5174201,0.6469691,0.6846551,0.5824212,0.5672067,0.9213419
0.51749396,0.6473354,0.6854969,0.5839456,0.56829387,0.91657597
